"User_ID","消费时间间隔","消费频率","用户类型"
"128377","高","高","价值用户"
"128390","高","高","价值用户"
"1000684","高","高","价值用户"
"10009","高","高","价值用户"
"1001199","高","高","价值用户"
"1001375","高","高","价值用户"
"1001545","高","高","价值用户"
"1002166","高","高","价值用户"
"1002307","高","高","价值用户"
"1002358","高","高","价值用户"
"1003826","高","高","价值用户"
"1004726","高","高","价值用户"
"1005124","高","高","价值用户"
"1010299","高","高","价值用户"
"1015545","高","高","价值用户"
"1016977","高","高","价值用户"
"1017785","高","高","价值用户"
"109364","高","高","价值用户"
"111549","高","高","价值用户"
"1001629","高","高","价值用户"
"1003716","高","高","价值用户"
"1003906","高","高","价值用户"
"1006653","高","高","价值用户"
"1007501","高","高","价值用户"
"1009211","高","高","价值用户"
"1010869","高","高","价值用户"
"101212","高","高","价值用户"
"1015454","高","高","价值用户"
"101660","高","高","价值用户"
"101983","高","高","价值用户"
"102632","高","高","价值用户"
"104019","高","高","价值用户"
"104620","高","高","价值用户"
"104703","高","高","价值用户"
"104710","高","高","价值用户"
"105540","高","高","价值用户"
"109163","高","高","价值用户"
"112287","高","高","价值用户"
"112741","高","高","价值用户"
"112997","高","高","价值用户"
"113570","高","高","价值用户"
"115229","高","高","价值用户"
"115555","高","高","价值用户"
"115935","高","高","价值用户"
"116108","高","高","价值用户"
"116132","高","高","价值用户"
"116682","高","高","价值用户"
"117439","高","高","价值用户"
"118867","高","高","价值用户"
"121877","高","高","价值用户"
"124095","高","高","价值用户"
"127978","高","高","价值用户"
"112845","高","高","价值用户"
"113163","高","高","价值用户"
"114824","高","高","价值用户"
"116582","高","高","价值用户"
"117075","高","高","价值用户"
"117205","高","高","价值用户"
"119999","高","高","价值用户"
"120849","高","高","价值用户"
"121890","高","高","价值用户"
"123892","高","高","价值用户"
"126468","高","高","价值用户"
"128539","高","高","价值用户"
"1000335","高","高","价值用户"
"1000438","高","高","价值用户"
"1001378","高","高","价值用户"
"1001537","高","高","价值用户"
"100173","高","高","价值用户"
"1002246","高","高","价值用户"
"1003022","高","高","价值用户"
"1005916","高","高","价值用户"
"1006274","高","高","价值用户"
"1006446","高","高","价值用户"
"1008174","高","高","价值用户"
"1008842","高","高","价值用户"
"1010280","高","高","价值用户"
"1012275","高","高","价值用户"
"101249","高","高","价值用户"
"1012682","高","高","价值用户"
"1013943","高","高","价值用户"
"1014907","高","高","价值用户"
"1015572","高","高","价值用户"
"1015760","高","高","价值用户"
"1017905","高","高","价值用户"
"102257","高","高","价值用户"
"103509","高","高","价值用户"
"106067","高","高","价值用户"
"107002","高","高","价值用户"
"107825","高","高","价值用户"
"108025","高","高","价值用户"
"108997","高","高","价值用户"
"109291","高","高","价值用户"
"110360","高","高","价值用户"
"110704","高","高","价值用户"
"1119","高","高","价值用户"
"112015","高","高","价值用户"
"11226","高","高","价值用户"
"1000084","高","高","价值用户"
"1000115","高","高","价值用户"
"1000436","高","高","价值用户"
"1002042","高","高","价值用户"
"1002618","高","高","价值用户"
"1003510","高","高","价值用户"
"1004448","高","高","价值用户"
"1005419","高","高","价值用户"
"1005746","高","高","价值用户"
"1006920","高","高","价值用户"
"1007148","高","高","价值用户"
"1007319","高","高","价值用户"
"1007387","高","高","价值用户"
"1008245","高","高","价值用户"
"1008786","高","高","价值用户"
"1008904","高","高","价值用户"
"1009611","高","高","价值用户"
"1009822","高","高","价值用户"
"1010170","高","高","价值用户"
"1010281","高","高","价值用户"
"1010870","高","高","价值用户"
"1011581","高","高","价值用户"
"1011793","高","高","价值用户"
"1012232","高","高","价值用户"
"1012358","高","高","价值用户"
"1013202","高","高","价值用户"
"1013209","高","高","价值用户"
"1013338","高","高","价值用户"
"1014281","高","高","价值用户"
"1014544","高","高","价值用户"
"1014550","高","高","价值用户"
"1014716","高","高","价值用户"
"1015846","高","高","价值用户"
"1015886","高","高","价值用户"
"1016156","高","高","价值用户"
"1016326","高","高","价值用户"
"1016357","高","高","价值用户"
"1016622","高","高","价值用户"
"1017543","高","高","价值用户"
"102386","高","高","价值用户"
"103439","高","高","价值用户"
"104142","高","高","价值用户"
"105364","高","高","价值用户"
"10668","高","高","价值用户"
"10694","高","高","价值用户"
"107181","高","高","价值用户"
"10776","高","高","价值用户"
"108523","高","高","价值用户"
"108996","高","高","价值用户"
"109169","高","高","价值用户"
"110200","高","高","价值用户"
"110365","高","高","价值用户"
"111216","高","高","价值用户"
"11190","高","高","价值用户"
"112165","高","高","价值用户"
"11272","高","高","价值用户"
"112775","高","高","价值用户"
"113082","高","高","价值用户"
"113244","高","高","价值用户"
"113321","高","高","价值用户"
"11403","高","高","价值用户"
"114644","高","高","价值用户"
"1149","高","高","价值用户"
"115031","高","高","价值用户"
"116344","高","高","价值用户"
"116769","高","高","价值用户"
"116801","高","高","价值用户"
"117013","高","高","价值用户"
"118384","高","高","价值用户"
"119925","高","高","价值用户"
"121389","高","高","价值用户"
"121502","高","高","价值用户"
"122782","高","高","价值用户"
"123252","高","高","价值用户"
"123672","高","高","价值用户"
"125811","高","高","价值用户"
"127360","高","高","价值用户"
"127915","高","高","价值用户"
"127981","高","高","价值用户"
"113397","高","高","价值用户"
"114546","高","高","价值用户"
"115098","高","高","价值用户"
"116021","高","高","价值用户"
"116310","高","高","价值用户"
"117418","高","高","价值用户"
"117857","高","高","价值用户"
"118164","高","高","价值用户"
"118237","高","高","价值用户"
"118238","高","高","价值用户"
"119496","高","高","价值用户"
"119998","高","高","价值用户"
"120581","高","高","价值用户"
"120932","高","高","价值用户"
"1212","高","高","价值用户"
"121741","高","高","价值用户"
"121910","高","高","价值用户"
"122369","高","高","价值用户"
"122578","高","高","价值用户"
"123286","高","高","价值用户"
"125307","高","高","价值用户"
"125377","高","高","价值用户"
"12646","高","高","价值用户"
"127010","高","高","价值用户"
"12722","高","高","价值用户"
"127340","高","高","价值用户"
"127866","高","高","价值用户"
"127942","高","高","价值用户"
"128422","高","高","价值用户"
"1001054","高","高","价值用户"
"1001625","高","高","价值用户"
"1001921","高","高","价值用户"
"100257","高","高","价值用户"
"1002909","高","高","价值用户"
"1002970","高","高","价值用户"
"1003249","高","高","价值用户"
"1003321","高","高","价值用户"
"100356","高","高","价值用户"
"1003656","高","高","价值用户"
"1004337","高","高","价值用户"
"1004663","高","高","价值用户"
"100477","高","高","价值用户"
"1005074","高","高","价值用户"
"100528","高","高","价值用户"
"100599","高","高","价值用户"
"1005995","高","高","价值用户"
"1006889","高","高","价值用户"
"1007453","高","高","价值用户"
"100860","高","高","价值用户"
"1009046","高","高","价值用户"
"1009391","高","高","价值用户"
"1009833","高","高","价值用户"
"1010381","高","高","价值用户"
"1010453","高","高","价值用户"
"1010839","高","高","价值用户"
"1011181","高","高","价值用户"
"1011943","高","高","价值用户"
"1011996","高","高","价值用户"
"1012022","高","高","价值用户"
"1012806","高","高","价值用户"
"101305","高","高","价值用户"
"101420","高","高","价值用户"
"1015250","高","高","价值用户"
"1016498","高","高","价值用户"
"1016582","高","高","价值用户"
"1016639","高","高","价值用户"
"1016747","高","高","价值用户"
"1016792","高","高","价值用户"
"1017055","高","高","价值用户"
"1017058","高","高","价值用户"
"1017334","高","高","价值用户"
"1017567","高","高","价值用户"
"1017627","高","高","价值用户"
"102302","高","高","价值用户"
"102617","高","高","价值用户"
"10267","高","高","价值用户"
"102762","高","高","价值用户"
"102773","高","高","价值用户"
"102774","高","高","价值用户"
"103710","高","高","价值用户"
"10476","高","高","价值用户"
"104811","高","高","价值用户"
"105873","高","高","价值用户"
"10608","高","高","价值用户"
"106415","高","高","价值用户"
"106838","高","高","价值用户"
"108050","高","高","价值用户"
"108102","高","高","价值用户"
"108227","高","高","价值用户"
"108233","高","高","价值用户"
"108605","高","高","价值用户"
"108809","高","高","价值用户"
"108967","高","高","价值用户"
"109643","高","高","价值用户"
"109971","高","高","价值用户"
"111023","高","高","价值用户"
"111517","高","高","价值用户"
"112111","高","高","价值用户"
"1000313","高","高","价值用户"
"1000807","高","高","价值用户"
"1000911","高","高","价值用户"
"1001466","高","高","价值用户"
"1001711","高","高","价值用户"
"1002208","高","高","价值用户"
"100294","高","高","价值用户"
"1003200","高","高","价值用户"
"1003351","高","高","价值用户"
"1004172","高","高","价值用户"
"1004381","高","高","价值用户"
"1004807","高","高","价值用户"
"1005166","高","高","价值用户"
"1005712","高","高","价值用户"
"1006553","高","高","价值用户"
"1006582","高","高","价值用户"
"1006765","高","高","价值用户"
"1007112","高","高","价值用户"
"1007601","高","高","价值用户"
"1007848","高","高","价值用户"
"1007919","高","高","价值用户"
"1008557","高","高","价值用户"
"1008916","高","高","价值用户"
"1009437","高","高","价值用户"
"1009898","高","高","价值用户"
"1010691","高","高","价值用户"
"1011799","高","高","价值用户"
"1011937","高","高","价值用户"
"1011960","高","高","价值用户"
"1011986","高","高","价值用户"
"1012895","高","高","价值用户"
"1013593","高","高","价值用户"
"1014055","高","高","价值用户"
"1014248","高","高","价值用户"
"1014341","高","高","价值用户"
"1015305","高","高","价值用户"
"1015794","高","高","价值用户"
"1016024","高","高","价值用户"
"1016774","高","高","价值用户"
"1017407","高","高","价值用户"
"1017527","高","高","价值用户"
"1017649","高","高","价值用户"
"1017860","高","高","价值用户"
"102163","高","高","价值用户"
"102574","高","高","价值用户"
"102703","高","高","价值用户"
"102721","高","高","价值用户"
"103246","高","高","价值用户"
"103627","高","高","价值用户"
"10395","高","高","价值用户"
"10407","高","高","价值用户"
"104823","高","高","价值用户"
"105044","高","高","价值用户"
"105643","高","高","价值用户"
"105748","高","高","价值用户"
"105819","高","高","价值用户"
"105907","高","高","价值用户"
"106400","高","高","价值用户"
"106435","高","高","价值用户"
"106699","高","高","价值用户"
"107159","高","高","价值用户"
"107243","高","高","价值用户"
"107293","高","高","价值用户"
"107389","高","高","价值用户"
"107492","高","高","价值用户"
"107665","高","高","价值用户"
"10772","高","高","价值用户"
"107961","高","高","价值用户"
"108037","高","高","价值用户"
"108457","高","高","价值用户"
"109124","高","高","价值用户"
"109337","高","高","价值用户"
"109388","高","高","价值用户"
"10984","高","高","价值用户"
"112070","高","高","价值用户"
"112099","高","高","价值用户"
"112369","高","高","价值用户"
"112372","高","高","价值用户"
"112689","高","高","价值用户"
"112930","高","高","价值用户"
"11294","高","高","价值用户"
"113269","高","高","价值用户"
"113291","高","高","价值用户"
"113834","高","高","价值用户"
"113932","高","高","价值用户"
"114931","高","高","价值用户"
"115512","高","高","价值用户"
"115752","高","高","价值用户"
"116572","高","高","价值用户"
"117019","高","高","价值用户"
"117226","高","高","价值用户"
"117689","高","高","价值用户"
"117805","高","高","价值用户"
"117981","高","高","价值用户"
"118130","高","高","价值用户"
"118996","高","高","价值用户"
"11900","高","高","价值用户"
"119185","高","高","价值用户"
"120241","高","高","价值用户"
"120349","高","高","价值用户"
"120398","高","高","价值用户"
"120640","高","高","价值用户"
"120929","高","高","价值用户"
"12095","高","高","价值用户"
"121321","高","高","价值用户"
"121515","高","高","价值用户"
"121613","高","高","价值用户"
"121854","高","高","价值用户"
"121858","高","高","价值用户"
"121924","高","高","价值用户"
"121985","高","高","价值用户"
"122379","高","高","价值用户"
"122387","高","高","价值用户"
"122563","高","高","价值用户"
"123109","高","高","价值用户"
"123543","高","高","价值用户"
"123762","高","高","价值用户"
"124813","高","高","价值用户"
"125205","高","高","价值用户"
"125364","高","高","价值用户"
"125461","高","高","价值用户"
"125578","高","高","价值用户"
"127180","高","高","价值用户"
"127419","高","高","价值用户"
"128417","高","高","价值用户"
"128449","高","高","价值用户"
"112867","高","高","价值用户"
"112936","高","高","价值用户"
"113010","高","高","价值用户"
"113116","高","高","价值用户"
"113603","高","高","价值用户"
"113627","高","高","价值用户"
"113829","高","高","价值用户"
"113879","高","高","价值用户"
"113890","高","高","价值用户"
"114733","高","高","价值用户"
"11495","高","高","价值用户"
"115000","高","高","价值用户"
"115109","高","高","价值用户"
"115185","高","高","价值用户"
"115385","高","高","价值用户"
"115387","高","高","价值用户"
"115476","高","高","价值用户"
"115614","高","高","价值用户"
"115650","高","高","价值用户"
"116805","高","高","价值用户"
"116837","高","高","价值用户"
"11730","高","高","价值用户"
"117347","高","高","价值用户"
"117616","高","高","价值用户"
"118686","高","高","价值用户"
"118840","高","高","价值用户"
"118976","高","高","价值用户"
"119139","高","高","价值用户"
"11916","高","高","价值用户"
"119443","高","高","价值用户"
"119527","高","高","价值用户"
"119657","高","高","价值用户"
"119775","高","高","价值用户"
"120135","高","高","价值用户"
"121182","高","高","价值用户"
"121219","高","高","价值用户"
"121417","高","高","价值用户"
"121536","高","高","价值用户"
"121948","高","高","价值用户"
"12202","高","高","价值用户"
"122105","高","高","价值用户"
"12213","高","高","价值用户"
"122177","高","高","价值用户"
"122214","高","高","价值用户"
"122228","高","高","价值用户"
"122253","高","高","价值用户"
"122264","高","高","价值用户"
"122389","高","高","价值用户"
"122448","高","高","价值用户"
"122607","高","高","价值用户"
"123241","高","高","价值用户"
"123317","高","高","价值用户"
"123520","高","高","价值用户"
"123694","高","高","价值用户"
"12400","高","高","价值用户"
"124036","高","高","价值用户"
"12424","高","高","价值用户"
"124274","高","高","价值用户"
"124538","高","高","价值用户"
"124811","高","高","价值用户"
"124848","高","高","价值用户"
"124867","高","高","价值用户"
"125078","高","高","价值用户"
"125537","高","高","价值用户"
"125580","高","高","价值用户"
"12605","高","高","价值用户"
"126343","高","高","价值用户"
"126482","高","高","价值用户"
"126898","高","高","价值用户"
"126935","高","高","价值用户"
"127113","高","高","价值用户"
"127224","高","高","价值用户"
"127355","高","高","价值用户"
"128145","高","高","价值用户"
"128465","高","高","价值用户"
"1000028","高","高","价值用户"
"1000103","高","高","价值用户"
"1000398","高","高","价值用户"
"1000610","高","高","价值用户"
"1000836","高","高","价值用户"
"1001131","高","高","价值用户"
"1001186","高","高","价值用户"
"1001235","高","高","价值用户"
"1001652","高","高","价值用户"
"1001804","高","高","价值用户"
"1001829","高","高","价值用户"
"1001988","高","高","价值用户"
"1002020","高","高","价值用户"
"1002093","高","高","价值用户"
"1002520","高","高","价值用户"
"1002578","高","高","价值用户"
"1002934","高","高","价值用户"
"1003027","高","高","价值用户"
"1003041","高","高","价值用户"
"1003183","高","高","价值用户"
"1003273","高","高","价值用户"
"10034","高","高","价值用户"
"1003509","高","高","价值用户"
"1003559","高","高","价值用户"
"1003561","高","高","价值用户"
"1003562","高","高","价值用户"
"1003628","高","高","价值用户"
"1004068","高","高","价值用户"
"1004269","高","高","价值用户"
"1004839","高","高","价值用户"
"1005292","高","高","价值用户"
"1005407","高","高","价值用户"
"1005414","高","高","价值用户"
"1005474","高","高","价值用户"
"1005704","高","高","价值用户"
"1005742","高","高","价值用户"
"1005807","高","高","价值用户"
"1005838","高","高","价值用户"
"1005961","高","高","价值用户"
"1006453","高","高","价值用户"
"1006707","高","高","价值用户"
"1006964","高","高","价值用户"
"1007004","高","高","价值用户"
"1007171","高","高","价值用户"
"1007190","高","高","价值用户"
"1007225","高","高","价值用户"
"1007294","高","高","价值用户"
"1007479","高","高","价值用户"
"1007704","高","高","价值用户"
"1007907","高","高","价值用户"
"1008100","高","高","价值用户"
"1008106","高","高","价值用户"
"1008187","高","高","价值用户"
"1008378","高","高","价值用户"
"1008391","高","高","价值用户"
"1008430","高","高","价值用户"
"1008961","高","高","价值用户"
"1009129","高","高","价值用户"
"100925","高","高","价值用户"
"1009529","高","高","价值用户"
"1009673","高","高","价值用户"
"1009997","高","高","价值用户"
"101001","高","高","价值用户"
"1010638","高","高","价值用户"
"1010915","高","高","价值用户"
"1011248","高","高","价值用户"
"1011499","高","高","价值用户"
"1011591","高","高","价值用户"
"1011704","高","高","价值用户"
"1011725","高","高","价值用户"
"1012110","高","高","价值用户"
"1012298","高","高","价值用户"
"101239","高","高","价值用户"
"1012415","高","高","价值用户"
"1012469","高","高","价值用户"
"1012745","高","高","价值用户"
"101303","高","高","价值用户"
"101312","高","高","价值用户"
"1014072","高","高","价值用户"
"1014237","高","高","价值用户"
"1014652","高","高","价值用户"
"1014846","高","高","价值用户"
"101515","高","高","价值用户"
"1015229","高","高","价值用户"
"1015578","高","高","价值用户"
"1016016","高","高","价值用户"
"1016054","高","高","价值用户"
"1016234","高","高","价值用户"
"1016293","高","高","价值用户"
"1016465","高","高","价值用户"
"1016716","高","高","价值用户"
"101744","高","高","价值用户"
"1017509","高","高","价值用户"
"1017666","高","高","价值用户"
"1017869","高","高","价值用户"
"1017937","高","高","价值用户"
"101855","高","高","价值用户"
"10265","高","高","价值用户"
"102654","高","高","价值用户"
"10290","高","高","价值用户"
"103159","高","高","价值用户"
"103177","高","高","价值用户"
"103511","高","高","价值用户"
"103585","高","高","价值用户"
"103966","高","高","价值用户"
"104349","高","高","价值用户"
"10449","高","高","价值用户"
"104879","高","高","价值用户"
"104893","高","高","价值用户"
"104899","高","高","价值用户"
"10490","高","高","价值用户"
"105180","高","高","价值用户"
"105975","高","高","价值用户"
"106038","高","高","价值用户"
"106395","高","高","价值用户"
"106424","高","高","价值用户"
"106526","高","高","价值用户"
"106532","高","高","价值用户"
"106613","高","高","价值用户"
"10683","高","高","价值用户"
"107471","高","高","价值用户"
"10757","高","高","价值用户"
"107601","高","高","价值用户"
"107805","高","高","价值用户"
"107850","高","高","价值用户"
"108038","高","高","价值用户"
"108248","高","高","价值用户"
"108363","高","高","价值用户"
"108676","高","高","价值用户"
"109474","高","高","价值用户"
"109661","高","高","价值用户"
"109717","高","高","价值用户"
"110179","高","高","价值用户"
"110294","高","高","价值用户"
"11079","高","高","价值用户"
"110989","高","高","价值用户"
"111226","高","高","价值用户"
"111247","高","高","价值用户"
"11162","高","高","价值用户"
"111629","高","高","价值用户"
"111738","高","高","价值用户"
"112104","高","高","价值用户"
"112220","高","高","价值用户"
"1124","高","高","价值用户"
"112643","高","高","价值用户"
"112677","高","高","价值用户"
"1000061","高","低","发展用户"
"1000151","高","低","发展用户"
"1000269","高","低","发展用户"
"1000429","高","低","发展用户"
"1000511","高","低","发展用户"
"100091","高","低","发展用户"
"100105","高","低","发展用户"
"100107","高","低","发展用户"
"1001676","高","低","发展用户"
"1001967","高","低","发展用户"
"1002188","高","低","发展用户"
"1002194","高","低","发展用户"
"1002317","高","低","发展用户"
"100279","高","低","发展用户"
"1002878","高","低","发展用户"
"1003239","高","低","发展用户"
"1003264","高","低","发展用户"
"1003422","高","低","发展用户"
"1003707","高","低","发展用户"
"100377","高","低","发展用户"
"100388","高","低","发展用户"
"1003940","高","低","发展用户"
"1004335","高","低","发展用户"
"1004477","高","低","发展用户"
"100451","高","低","发展用户"
"1004681","高","低","发展用户"
"1004682","高","低","发展用户"
"1004895","高","低","发展用户"
"1004906","高","低","发展用户"
"1005559","高","低","发展用户"
"1006207","高","低","发展用户"
"1006404","高","低","发展用户"
"1006919","高","低","发展用户"
"1006938","高","低","发展用户"
"1007027","高","低","发展用户"
"1007082","高","低","发展用户"
"1007476","高","低","发展用户"
"1007629","高","低","发展用户"
"1007802","高","低","发展用户"
"1008003","高","低","发展用户"
"100821","高","低","发展用户"
"1008212","高","低","发展用户"
"1008370","高","低","发展用户"
"1008425","高","低","发展用户"
"1008614","高","低","发展用户"
"1008698","高","低","发展用户"
"1009026","高","低","发展用户"
"1009056","高","低","发展用户"
"1009153","高","低","发展用户"
"1009221","高","低","发展用户"
"1009524","高","低","发展用户"
"1009587","高","低","发展用户"
"1009608","高","低","发展用户"
"1009639","高","低","发展用户"
"1009753","高","低","发展用户"
"1010040","高","低","发展用户"
"1010157","高","低","发展用户"
"1010396","高","低","发展用户"
"1010445","高","低","发展用户"
"101047","高","低","发展用户"
"1010857","高","低","发展用户"
"1010861","高","低","发展用户"
"1011254","高","低","发展用户"
"1011322","高","低","发展用户"
"1011409","高","低","发展用户"
"1011487","高","低","发展用户"
"1011527","高","低","发展用户"
"1011565","高","低","发展用户"
"1011567","高","低","发展用户"
"101182","高","低","发展用户"
"1011961","高","低","发展用户"
"1011992","高","低","发展用户"
"1012420","高","低","发展用户"
"1012498","高","低","发展用户"
"1012664","高","低","发展用户"
"1012667","高","低","发展用户"
"1012670","高","低","发展用户"
"1012804","高","低","发展用户"
"1013265","高","低","发展用户"
"1013291","高","低","发展用户"
"1013359","高","低","发展用户"
"1013497","高","低","发展用户"
"1013961","高","低","发展用户"
"1014045","高","低","发展用户"
"101417","高","低","发展用户"
"1014431","高","低","发展用户"
"1014436","高","低","发展用户"
"1014817","高","低","发展用户"
"1014880","高","低","发展用户"
"1014935","高","低","发展用户"
"1015117","高","低","发展用户"
"1015234","高","低","发展用户"
"101527","高","低","发展用户"
"1015469","高","低","发展用户"
"1015554","高","低","发展用户"
"101556","高","低","发展用户"
"1015706","高","低","发展用户"
"1015888","高","低","发展用户"
"1015966","高","低","发展用户"
"1016137","高","低","发展用户"
"1016203","高","低","发展用户"
"1016277","高","低","发展用户"
"101640","高","低","发展用户"
"1016424","高","低","发展用户"
"1016651","高","低","发展用户"
"1017001","高","低","发展用户"
"1017023","高","低","发展用户"
"1017141","高","低","发展用户"
"1017318","高","低","发展用户"
"1017515","高","低","发展用户"
"1017580","高","低","发展用户"
"1017598","高","低","发展用户"
"1017960","高","低","发展用户"
"101904","高","低","发展用户"
"101954","高","低","发展用户"
"102111","高","低","发展用户"
"10218","高","低","发展用户"
"102391","高","低","发展用户"
"102409","高","低","发展用户"
"102596","高","低","发展用户"
"102604","高","低","发展用户"
"102664","高","低","发展用户"
"102686","高","低","发展用户"
"102702","高","低","发展用户"
"102876","高","低","发展用户"
"103054","高","低","发展用户"
"103084","高","低","发展用户"
"103147","高","低","发展用户"
"103229","高","低","发展用户"
"103540","高","低","发展用户"
"103712","高","低","发展用户"
"103846","高","低","发展用户"
"104174","高","低","发展用户"
"104249","高","低","发展用户"
"104346","高","低","发展用户"
"104356","高","低","发展用户"
"104593","高","低","发展用户"
"104719","高","低","发展用户"
"104958","高","低","发展用户"
"10512","高","低","发展用户"
"105144","高","低","发展用户"
"10515","高","低","发展用户"
"105341","高","低","发展用户"
"105465","高","低","发展用户"
"10552","高","低","发展用户"
"105521","高","低","发展用户"
"105550","高","低","发展用户"
"105620","高","低","发展用户"
"105698","高","低","发展用户"
"105713","高","低","发展用户"
"105797","高","低","发展用户"
"106077","高","低","发展用户"
"106087","高","低","发展用户"
"106213","高","低","发展用户"
"106267","高","低","发展用户"
"106364","高","低","发展用户"
"106925","高","低","发展用户"
"107104","高","低","发展用户"
"107112","高","低","发展用户"
"107188","高","低","发展用户"
"1072","高","低","发展用户"
"107205","高","低","发展用户"
"107699","高","低","发展用户"
"10779","高","低","发展用户"
"107935","高","低","发展用户"
"108077","高","低","发展用户"
"10808","高","低","发展用户"
"108154","高","低","发展用户"
"1083","高","低","发展用户"
"109092","高","低","发展用户"
"109218","高","低","发展用户"
"109333","高","低","发展用户"
"109357","高","低","发展用户"
"109401","高","低","发展用户"
"109900","高","低","发展用户"
"109948","高","低","发展用户"
"109983","高","低","发展用户"
"110058","高","低","发展用户"
"110091","高","低","发展用户"
"110196","高","低","发展用户"
"110431","高","低","发展用户"
"110741","高","低","发展用户"
"110815","高","低","发展用户"
"110862","高","低","发展用户"
"110878","高","低","发展用户"
"110924","高","低","发展用户"
"111213","高","低","发展用户"
"111459","高","低","发展用户"
"111502","高","低","发展用户"
"111512","高","低","发展用户"
"111548","高","低","发展用户"
"111607","高","低","发展用户"
"111692","高","低","发展用户"
"11179","高","低","发展用户"
"111890","高","低","发展用户"
"112087","高","低","发展用户"
"112274","高","低","发展用户"
"112558","高","低","发展用户"
"112587","高","低","发展用户"
"112802","高","低","发展用户"
"112829","高","低","发展用户"
"112981","高","低","发展用户"
"113255","高","低","发展用户"
"113256","高","低","发展用户"
"113938","高","低","发展用户"
"114035","高","低","发展用户"
"114189","高","低","发展用户"
"11440","高","低","发展用户"
"11465","高","低","发展用户"
"114864","高","低","发展用户"
"114873","高","低","发展用户"
"11507","高","低","发展用户"
"115108","高","低","发展用户"
"115197","高","低","发展用户"
"115224","高","低","发展用户"
"115242","高","低","发展用户"
"115247","高","低","发展用户"
"115440","高","低","发展用户"
"115774","高","低","发展用户"
"115797","高","低","发展用户"
"115966","高","低","发展用户"
"115972","高","低","发展用户"
"115996","高","低","发展用户"
"116155","高","低","发展用户"
"116308","高","低","发展用户"
"116342","高","低","发展用户"
"116430","高","低","发展用户"
"116868","高","低","发展用户"
"116892","高","低","发展用户"
"116901","高","低","发展用户"
"117038","高","低","发展用户"
"117255","高","低","发展用户"
"117399","高","低","发展用户"
